assignee,tier,grammar_dist
S01,student,0.627
U01,student,1.207
E01,student,0.786
E02,student,0.909
S02,student,0.71
E03,student,1.17
S03,student,0.791
U02,core,1.045
S05,student,0.668
S07,student,0.823
E04,student,0.889
U03,student,0.981
E05,student,0.761
U04,student,0.91
U05,student,1.319
U06,student,0.842
S08,student,1.09
S09,student,0.973
U07,student,1.102
S10,student,0.966
U08,core,0.841
S11,student,0.835
S16,student,0.903
S17,student,1.132
E06,student,0.773
E07,student,1.186
S19,student,1.054
E08,student,1.153
S20,student,0.926
U09,expert,0.0
S21,student,0.92
S22,student,0.894
U11,student,1.161
U12,student,1.213
S24,student,1.069
S25,student,1.07
S26,student,0.887
U13,student,0.985
S27,student,0.962
S28,student,0.854
U14,student,0.975
S29,student,1.1
S30,student,1.052
