assignee,dist_nm,n,cohort,dur_min
E01,302.3337662239948,6,expert,0.0027174038867155
E02,511.4909827667152,5,expert,0.001716066567103
E03,207.00720771453848,6,expert,0.0024727816104888
E04,289.073479724075,6,expert,0.00193952759703
E05,327.92794415260346,6,expert,0.0009737099488576
E06,447.2934358234433,6,expert,0.0033490393102169
E07,122.05436730751605,6,expert,0.0037996099352836
E08,315.13311844157045,6,expert,0.0023644826928774
S01,358.3153181565264,6,student,0.0069791095376014
S02,476.8474451617477,6,student,0.0065727977216243
S03,461.2797242582929,6,student,0.0078616888622442
S05,307.1865819117371,6,student,0.0031831348756949
S06,467.59847228601217,6,student,0.0070652830739816
S07,536.0093358019221,6,student,0.0049257850944995
S08,311.2597350208569,6,student,0.0060126368661721
S09,372.8490172841216,6,student,0.0054971476078033
S10,314.89258064845376,6,student,0.0034214048584302
S11,363.046877760048,6,student,0.0049954511384169
S12,578.3623331241228,6,student,0.0018126083691914
S13,570.7337878678194,6,student,0.0065103773474693
S16,212.1905665023055,6,student,0.0032748438338438
S17,556.5386345289331,6,student,0.0087886876424153
S18,198.7366556104577,6,student,0.0022916441877683
S19,832.602877926515,6,student,0.0051979267736275
S20,309.2836101141696,6,student,0.0066246816178162
S21,93.36685318486704,6,student,0.0068715110023816
S22,311.61859055358866,6,student,0.0042450714468955
S23,426.0749990094973,6,student,0.0045179793715476
S24,286.4268938311318,6,student,0.0025298322836558
S25,8841.260967512864,5,student,0.0015281955997149
S26,351.70387467619906,6,student,0.0048396613319714
S27,490.813916716188,5,student,0.0030218099157015
S28,459.51761426161215,6,student,0.0020669887622197
S29,991.6050844179582,6,student,0.0022731299956639
S30,573.3738550508122,6,student,0.0025004971106847
