assignee,behavior_sim,grammar_sim,tempo_sim,agree_vs_expert,split_durability
E07,0.22,0.1,0.6,0.96,0.93
E08,0.74,0.13,0.93,0.93,
E05,0.83,0.42,0.93,0.88,0.85
E01,0.77,0.4,0.65,0.85,0.94
E03,0.67,0.11,0.73,0.84,
E06,0.66,0.41,0.88,0.79,0.93
U02,0.37,0.21,0.71,0.79,
E02,0.49,0.31,0.94,0.55,1.0
E04,0.67,0.33,0.79,0.54,
U01,0.35,0.09,0.5,,
S01,0.67,0.52,0.85,,
S07,0.75,0.38,0.7,,
S05,0.69,0.49,0.83,,
S02,0.68,0.46,0.76,,
S03,0.38,0.4,0.57,,0.97
U06,0.75,0.36,0.78,,
S08,0.55,0.17,0.98,,
U04,0.63,0.31,0.92,,
U03,0.73,0.26,0.43,,
U07,0.64,0.16,0.92,,
S09,0.4,0.26,0.81,,
S10,0.6,0.27,0.99,,
U08,0.66,0.36,0.86,,0.91
S16,0.45,0.32,0.21,,
S11,0.81,0.37,0.61,,
S17,0.73,0.14,0.82,,
U05,0.47,0.0,0.45,,
S19,0.17,0.2,0.75,,
S20,0.44,0.3,0.51,,
U09,1.0,1.0,1.0,,
S21,0.46,0.3,0.31,,
S22,0.8,0.32,0.97,,
U11,0.2,0.12,0.0,,
U12,0.0,0.08,0.46,,
S24,0.68,0.19,0.69,,
S25,0.77,0.19,0.86,,
S26,0.46,0.33,0.82,,
U13,0.39,0.25,0.53,,
S27,0.77,0.27,0.81,,
S28,0.59,0.35,0.68,,
U14,0.45,0.26,0.92,,
S29,0.34,0.17,0.52,,
S30,0.41,0.2,0.28,,
