assignee,cohort,promoted,n_tasks,acc,bad,mean_dur,std_dur,cv_dur,mean_pts,std_pts,dur_per_pt
S15,student,0,14,0.2195121951219512,1,151.17884380476815,85.9826179953699,0.5687476887070758,5.857142857142857,1.8461211404742977,25.8110221130092
S04,student,0,27,0.7255813953488373,1,167.14969546706587,128.7165878889752,0.7700677379596944,7.962962962962963,0.1888525745775105,20.99089198888734
E05,expert,0,25,0.75,1,132.76916856765746,73.26535860106044,0.5518250915590042,8.0,0.0,16.596146070957182
S25,student,0,17,0.751937984496124,1,2377.0204498206867,6660.213252135029,2.801916682137694,7.588235294117647,1.6470588235294117,313.2507569531137
S06,student,0,13,0.7766990291262136,1,308.41475424399744,480.0865831121386,1.5566265118831693,7.923076923076923,0.2664693550105964,38.926134030795794
S02,student,0,19,0.9205298013245032,0,513.4281529501865,576.8570213046853,1.1235399110664912,7.947368421052632,0.223296878269436,64.60354242419565
S12,student,0,28,0.925764192139738,0,181.7315528563091,147.55941023387294,0.8119636238982932,8.178571428571429,0.7584557350569751,22.22045187762731
S20,student,1,14,0.927927927927928,0,594.5074533053806,401.9865174981464,0.6761673302212714,7.928571428571429,0.2575393768188563,74.98292203851648
S18,student,0,28,0.937219730941704,0,159.97610285452433,127.18765352468868,0.7950415796811096,7.964285714285714,0.1855768722395226,20.08668556020933
S08,student,0,27,0.9375,0,337.8950926639416,301.5547795569499,0.8924509000101565,8.296296296296296,0.531581484978049,40.728426347885815
S27,student,0,26,0.9565217391304348,0,148.0169292138173,88.89537504249651,0.6005757281593312,7.961538461538462,0.1923076923076923,18.59149835535869
S19,student,0,15,0.957983193277311,0,458.8133683363597,335.0790194525175,0.7303166005548218,7.933333333333334,0.2494438257849293,57.83361785752432
S09,student,0,27,0.958139534883721,0,464.2399191238262,714.9756650516815,1.5400994951082112,7.962962962962963,0.1888525745775105,58.29989682020143
S07,student,0,10,0.9620253164556962,0,513.0433599472046,404.085105829486,0.7876236929975449,7.9,0.3,64.94219746167147
S17,student,0,27,0.9674418604651164,0,295.6112007653272,358.5806873925464,1.2130145490569824,7.962962962962963,0.1888525745775105,37.12326707285504
E02,expert,0,27,0.9724770642201837,0,126.93274340806184,47.11180544108193,0.3711556543738085,8.074074074074074,0.4655483366657975,15.721027853292062
S16,student,0,28,0.9726027397260274,0,356.64116145031795,507.00188548627233,1.4216022722237025,7.821428571428571,1.1666059265043625,45.59795671510915
S11,student,0,28,0.9733333333333334,0,388.5684405224664,181.3886255790682,0.4668125525973605,8.035714285714286,0.3253726278265821,48.35518370946248
S29,student,0,12,0.9791666666666666,0,277.5108663837115,232.3884188917825,0.8374029526125343,8.0,0.0,34.68885829796394
E04,expert,0,27,0.9814814814814816,0,124.818294428013,74.37696471473365,0.5958819182361877,8.0,0.2721655269759087,15.602286803501624
S21,student,0,14,0.981981981981982,0,518.6401994909559,323.43490990737,0.6236209808356942,7.928571428571429,0.2575393768188563,65.41407921507552
S13,student,0,23,0.9836065573770492,0,428.6839600231336,431.8901426352611,1.0074791289414105,7.956521739130435,0.203931119992323,53.87831191547581
S24,student,1,24,0.9842931937172776,0,153.40150345365203,114.31161698207816,0.7451792479766386,7.958333333333333,0.1998263134713633,19.275581585799213
E07,expert,0,27,0.985981308411215,0,253.0786575564632,180.29471112667508,0.7124058301378116,7.925925925925926,0.2618914004394621,31.93048483189021
S22,student,1,28,0.9866071428571428,0,392.0293531758445,326.295553004755,0.8323242899069229,8.0,0.2672612419124244,49.00366914698056
S10,student,0,13,0.9902912621359224,0,240.02891888985263,183.786303130189,0.7656840016620124,7.923076923076923,0.2664693550105964,30.294912092894023
S26,student,1,13,0.9903846153846154,0,273.28342923751245,227.2345863195019,0.8314978590304896,8.0,0.3922322702763681,34.160428654689056
E03,expert,0,27,0.9906976744186048,0,158.92185203234354,69.95350146740567,0.4401754734973063,7.962962962962963,0.1888525745775105,19.95762792964314
S28,student,0,27,0.9906976744186048,0,235.46156081446892,237.89291564896345,1.0103259097836792,7.962962962962963,0.1888525745775105,29.5695913580961
S01,student,0,14,0.990990990990991,0,971.245847940445,1178.708288967752,1.2136044560367871,7.928571428571429,0.2575393768188563,122.49947631681287
E01,expert,0,28,0.9910313901345292,0,142.20333984919958,57.941210721005,0.4074532340973785,7.964285714285714,0.1855768722395226,17.8551278734421
S05,student,1,28,0.9910313901345292,0,307.7742496728897,146.17633212817358,0.4749465957062149,7.964285714285714,0.1855768722395226,38.64430040735835
E08,expert,0,15,0.9915966386554622,0,131.55400451024374,42.7480934685423,0.3249471091943356,7.933333333333334,0.2494438257849293,16.582437543308036
S03,student,1,15,0.9915966386554622,0,363.951643594106,472.6558328275028,1.2986775610076051,7.933333333333334,0.2494438257849293,45.87625759589572
S30,student,1,13,1.0,0,351.2635468336252,261.3101543515982,0.7439148090005676,7.923076923076923,0.2664693550105964,44.33423406637988
S23,student,0,16,1.0,0,190.6487136632204,78.39238092122974,0.4111875680405026,7.9375,0.2420614591379635,24.01873557961832
